Scattering Cross-Section: Angle, Cross-section
Random rotation
2.07694 14248.3
2.0944 9384.6
2.11185 5493.87
2.1293 2742.73
2.14675 1144.98
2.16421 539.614
2.18166 609.224
2.19911 945.609
2.21657 1157.04
2.23402 998.63
2.25147 497.637
2.26893 42.1894
2.28638 405.684
2.30383 2690.64
2.32129 8191.97
2.33874 18197.3
2.35619 33757.2
2.37365 55465.6
2.3911 83292.9
2.40855 116503
2.42601 153670
2.44346 192801
2.46091 231532
2.47837 267376
2.49582 297986
2.51327 321382
2.53073 336130
2.54818 341445
2.56563 337215
2.58309 323960
2.60054 302740
2.61799 275024
2.63545 242555
2.6529 207217
2.67035 170911
2.68781 135457
2.70526 102515
2.72271 73524.5
2.74017 49665.2
2.75762 31829
2.77507 20613.5
2.79253 16329.5
2.80998 19023.9
2.82743 28515.7
2.84489 44438.5
2.86234 66282.4
2.87979 93425.9
2.89725 125150
2.9147 160630
2.93215 198909
2.94961 238857
2.96706 279133
2.98451 318172
3.00197 354206
3.01942 385341
3.03687 409688
3.05433 425541
3.07178 431578
3.08923 427054
3.10669 411959
3.12414 387084
3.14159 354003
Random rotation
0 4.58576e+08
0.0174533 4.51246e+08
0.0349066 4.26179e+08
0.0523599 3.8592e+08
0.0698132 3.34441e+08
0.0872665 2.7658e+08
0.10472 2.17374e+08
0.122173 1.61416e+08
0.139626 1.12326e+08
0.15708 7.24168e+07
0.174533 4.25962e+07
0.191986 2.24829e+07
0.20944 1.07009e+07
0.226893 5.27186e+06
0.244346 4.02835e+06
0.261799 4.97228e+06
0.279253 6.52798e+06
0.296706 7.66594e+06
0.314159 7.90207e+06
0.331613 7.20035e+06
0.349066 5.81958e+06
0.366519 4.14765e+06
0.383972 2.55964e+06
0.401426 1.32283e+06
0.418879 556351
0.436332 239618
0.453786 253933
0.471239 438323
0.488692 641821
0.506145 759825
0.523599 749162
0.541052 623139
0.558505 432690
0.575959 241867
0.593412 105497
0.610865 54486.5
0.628319 91022.4
0.645772 192788
0.663225 323140
0.680678 443247
0.698132 522529
0.715585 544962
0.733038 510410
0.750492 431651
0.767945 328755
0.785398 222835
0.802851 130918
0.820305 63018.4
0.837758 21690
0.855211 3591.18
0.872665 2182.77
0.890118 10549.5
0.907571 23532.3
0.925025 38724.7
0.942478 56300.5
0.959931 77977
0.977384 105606
0.994838 139892
1.01229 179624
1.02974 221579
1.0472 261065
1.06465 292888
1.0821 312450
1.09956 316694
1.11701 304688
1.13446 277748
1.15192 239127
1.16937 193386
1.18682 145606
1.20428 100627
1.22173 62427.8
1.23918 33750.2
1.25664 15966.2
1.27409 9166.19
1.29154 12393.7
1.309 23948.8
1.32645 41690.1
1.3439 63287.6
1.36136 86409.1
1.37881 108846
1.39626 128600
1.41372 143965
1.43117 153612
1.44862 156695
1.46608 152955
1.48353 142799
1.50098 127321
1.51844 108238
1.53589 87722.6
1.55334 68143.9
1.5708 51751.7
1.58825 40349.4
1.6057 35017.1
1.62316 35940.7
1.64061 42383.9
1.65806 52814.1
1.67552 65162
1.69297 77167.7
1.71042 86748
1.72788 92316.2
1.74533 92996.9
1.76278 88702.3
1.78024 80065.1
1.79769 68254.9
1.81514 54727.1
1.8326 40960.4
1.85005 28239.8
1.8675 17522.2
1.88496 9399.57
1.90241 4147.73
1.91986 1829.88
1.93732 2410.93
1.95477 5841.06
1.97222 12078.5
1.98968 21042.7
2.00713 32511.3
2.02458 45995.9
2.04204 60641.2
2.05949 75193.6
2.07694 88071.3
2.0944 97545.7
2.11185 102015
2.1293 100326
2.14675 92079.7
2.16421 77849.5
2.18166 59260.2
2.19911 38883.7
2.21657 19957.3
2.23402 5957.62
2.25147 97.57
2.26893 4830.45
2.28638 21448.8
2.30383 49848.9
2.32129 88502
2.33874 134638
2.35619 184606
2.37365 234355
2.3911 279944
2.40855 318013
2.42601 346143
2.44346 363056
2.46091 368648
2.47837 363865
2.49582 350464
2.51327 330698
2.53073 306989
2.54818 281636
2.56563 256581
2.58309 233272
2.60054 212603
2.61799 194948
2.63545 180239
2.6529 168095
2.67035 157948
2.68781 149175
2.70526 141193
2.72271 133527
2.74017 125851
2.75762 117983
2.77507 109872
2.79253 101563
2.80998 93162.8
2.82743 84802.5
